Graph,avg_time
si6_b03_m1000.A00,0.0006232738494873046
si6_b03_m1000.A01,0.0005902767181396485
si6_b03_m1000.A02,0.0005967140197753907
si6_b03_m1000.A03,0.0005981922149658203
si6_b03_m1000.A04,0.0005981922149658203
si6_b03_m1000.A05,0.0005970478057861328
si6_b03_m1000.A06,0.0005970954895019531
si6_b03_m1000.A07,0.0005937576293945313
si6_b03_m1000.A08,0.0005997180938720703
si6_b03_m1000.A09,0.0005985260009765625
si6_b03_m1000.A10,0.0005952835083007813
si6_b03_m1000.A11,0.0005973339080810547
si6_b03_m1000.A12,0.0005973339080810547
si6_b03_m1000.A13,0.00060272216796875
si6_b03_m1000.A14,0.000599813461303711
si6_b03_m1000.A15,0.0005985736846923828
si6_b03_m1000.A16,0.0005992889404296875
si6_b03_m1000.A17,0.0006005764007568359
si6_b03_m1000.A18,0.0006019115447998047
si6_b03_m1000.A19,0.0005984306335449219
si6_b03_m1000.A20,0.0006001949310302735
si6_b03_m1000.A21,0.0005990028381347656
si6_b03_m1000.A22,0.000597381591796875
si6_b03_m1000.A23,0.0005978107452392578
si6_b03_m1000.A24,0.0005969047546386719
si6_b03_m1000.A25,0.0006008148193359375
si6_b03_m1000.A26,0.0005999088287353515
si6_b03_m1000.A27,0.0005967617034912109
si6_b03_m1000.A28,0.0005992412567138672
si6_b03_m1000.A29,0.0005942344665527344
si6_b03_m1000.A30,0.000598287582397461
si6_b03_m1000.A31,0.0005974292755126954
si6_b03_m1000.A32,0.000602102279663086
si6_b03_m1000.A33,0.0005985736846923828
si6_b03_m1000.A34,0.0006017208099365235
si6_b03_m1000.A35,0.0006009101867675781
si6_b03_m1000.A36,0.0005980968475341797
si6_b03_m1000.A37,0.000599527359008789
si6_b03_m1000.A38,0.0005933284759521484
si6_b03_m1000.A39,0.0005952835083007813
si6_b03_m1000.A40,0.0005986213684082032
si6_b03_m1000.A41,0.0005992889404296875
si6_b03_m1000.A42,0.0006011962890625
si6_b03_m1000.A43,0.0005993843078613281
si6_b03_m1000.A44,0.0005989551544189453
si6_b03_m1000.A45,0.0006016254425048828
si6_b03_m1000.A46,0.0005992412567138672
si6_b03_m1000.A47,0.0005980491638183594
si6_b03_m1000.A48,0.0006000041961669922
si6_b03_m1000.A49,0.0006000518798828125
si6_b03_m1000.A50,0.0006005287170410157
si6_b03_m1000.A51,0.0005974292755126954
si6_b03_m1000.A52,0.0005979061126708985
si6_b03_m1000.A53,0.0005951881408691406
si6_b03_m1000.A54,0.0005993366241455079
si6_b03_m1000.A55,0.0006013393402099609
si6_b03_m1000.A56,0.000598287582397461
si6_b03_m1000.A57,0.0005983829498291016
si6_b03_m1000.A58,0.0005977153778076172
si6_b03_m1000.A59,0.0005986690521240234
si6_b03_m1000.A60,0.0006006717681884766
si6_b03_m1000.A61,0.0005996227264404297
si6_b03_m1000.A62,0.0006001472473144531
si6_b03_m1000.A63,0.0006002902984619141
si6_b03_m1000.A64,0.0005992889404296875
si6_b03_m1000.A65,0.0005999088287353515
si6_b03_m1000.A66,0.0005999565124511719
si6_b03_m1000.A67,0.000600433349609375
si6_b03_m1000.A68,0.0005995750427246094
si6_b03_m1000.A69,0.0005959510803222656
si6_b03_m1000.A70,0.0005947113037109375
si6_b03_m1000.A71,0.0005970001220703125
si6_b03_m1000.A72,0.00059967041015625
si6_b03_m1000.A73,0.0005996227264404297
si6_b03_m1000.A74,0.0005994796752929688
si6_b03_m1000.A75,0.0005953788757324218
si6_b03_m1000.A76,0.0005982398986816406
si6_b03_m1000.A77,0.0005992889404296875
si6_b03_m1000.A78,0.0005983352661132812
si6_b03_m1000.A79,0.0005967140197753907
si6_b03_m1000.A80,0.0005991458892822266
si6_b03_m1000.A81,0.0005976676940917969
si6_b03_m1000.A82,0.0006008148193359375
si6_b03_m1000.A83,0.0005988597869873047
si6_b03_m1000.A84,0.0005944252014160156
si6_b03_m1000.A85,0.0006018638610839844
si6_b03_m1000.A86,0.0005984783172607421
si6_b03_m1000.A87,0.000600433349609375
si6_b03_m1000.A88,0.000598287582397461
si6_b03_m1000.A89,0.000598001480102539
si6_b03_m1000.A90,0.0005984783172607421
si6_b03_m1000.A91,0.0005965232849121094
si6_b03_m1000.A92,0.0006011486053466797
si6_b03_m1000.A93,0.0005994319915771484
si6_b03_m1000.A94,0.00059967041015625
si6_b03_m1000.A95,0.0005978584289550781
si6_b03_m1000.A96,0.0005978107452392578
si6_b03_m1000.A97,0.0006003379821777344
si6_b03_m1000.A98,0.0005956172943115234
si6_b03_m1000.A99,0.000599813461303711
si6_b03_m200.A00,8.268356323242188e-05
si6_b03_m200.A01,8.130073547363281e-05
si6_b03_m200.A02,8.158683776855468e-05
si6_b03_m200.A03,8.039474487304687e-05
si6_b03_m200.A04,8.058547973632812e-05
si6_b03_m200.A05,8.0108642578125e-05
si6_b03_m200.A06,8.149147033691407e-05
si6_b03_m200.A07,8.444786071777343e-05
si6_b03_m200.A08,8.511543273925781e-05
si6_b03_m200.A09,8.835792541503907e-05
si6_b03_m200.A10,8.58306884765625e-05
si6_b03_m200.A11,8.502006530761719e-05
si6_b03_m200.A12,8.406639099121094e-05
si6_b03_m200.A13,8.182525634765625e-05
si6_b03_m200.A14,8.106231689453125e-05
si6_b03_m200.A15,8.096694946289063e-05
si6_b03_m200.A16,8.206367492675781e-05
si6_b03_m200.A17,8.12530517578125e-05
si6_b03_m200.A18,8.330345153808593e-05
si6_b03_m200.A19,8.544921875e-05
si6_b03_m200.A20,8.554458618164063e-05
si6_b03_m200.A21,8.420944213867187e-05
si6_b03_m200.A22,8.497238159179687e-05
si6_b03_m200.A23,8.525848388671876e-05
si6_b03_m200.A24,8.511543273925781e-05
si6_b03_m200.A25,8.463859558105469e-05
si6_b03_m200.A26,7.982254028320313e-05
si6_b03_m200.A27,8.096694946289063e-05
si6_b03_m200.A28,8.001327514648438e-05
si6_b03_m200.A29,7.944107055664062e-05
si6_b03_m200.A30,8.130073547363281e-05
si6_b03_m200.A31,8.139610290527343e-05
si6_b03_m200.A32,8.077621459960938e-05
si6_b03_m200.A33,8.182525634765625e-05
si6_b03_m200.A34,8.144378662109376e-05
si6_b03_m200.A35,8.044242858886718e-05
si6_b03_m200.A36,8.411407470703125e-05
si6_b03_m200.A37,8.072853088378907e-05
si6_b03_m200.A38,8.068084716796874e-05
si6_b03_m200.A39,8.04901123046875e-05
si6_b03_m200.A40,8.053779602050782e-05
si6_b03_m200.A41,8.554458618164063e-05
si6_b03_m200.A42,8.101463317871094e-05
si6_b03_m200.A43,8.044242858886718e-05
si6_b03_m200.A44,8.058547973632812e-05
si6_b03_m200.A45,8.27789306640625e-05
si6_b03_m200.A46,8.149147033691407e-05
si6_b03_m200.A47,8.044242858886718e-05
si6_b03_m200.A48,8.268356323242188e-05
si6_b03_m200.A49,8.487701416015625e-05
si6_b03_m200.A50,8.797645568847656e-05
si6_b03_m200.A51,8.478164672851563e-05
si6_b03_m200.A52,8.50677490234375e-05
si6_b03_m200.A53,8.511543273925781e-05
si6_b03_m200.A54,8.50677490234375e-05
si6_b03_m200.A55,8.149147033691407e-05
si6_b03_m200.A56,8.082389831542969e-05
si6_b03_m200.A57,8.068084716796874e-05
si6_b03_m200.A58,8.053779602050782e-05
si6_b03_m200.A59,8.549690246582032e-05
si6_b03_m200.A60,8.482933044433594e-05
si6_b03_m200.A61,8.540153503417968e-05
si6_b03_m200.A62,8.454322814941407e-05
si6_b03_m200.A63,8.611679077148437e-05
si6_b03_m200.A64,8.478164672851563e-05
si6_b03_m200.A65,8.568763732910156e-05
si6_b03_m200.A66,8.668899536132813e-05
si6_b03_m200.A67,8.654594421386719e-05
si6_b03_m200.A68,8.111000061035156e-05
si6_b03_m200.A69,8.220672607421875e-05
si6_b03_m200.A70,8.096694946289063e-05
si6_b03_m200.A71,8.082389831542969e-05
si6_b03_m200.A72,8.230209350585937e-05
si6_b03_m200.A73,8.106231689453125e-05
si6_b03_m200.A74,8.549690246582032e-05
si6_b03_m200.A75,8.478164672851563e-05
si6_b03_m200.A76,8.554458618164063e-05
si6_b03_m200.A77,8.726119995117188e-05
si6_b03_m200.A78,8.50677490234375e-05
si6_b03_m200.A79,8.611679077148437e-05
si6_b03_m200.A80,8.511543273925781e-05
si6_b03_m200.A81,8.625984191894532e-05
si6_b03_m200.A82,8.573532104492188e-05
si6_b03_m200.A83,8.559226989746094e-05
si6_b03_m200.A84,8.487701416015625e-05
si6_b03_m200.A85,8.482933044433594e-05
si6_b03_m200.A86,8.535385131835938e-05
si6_b03_m200.A87,8.611679077148437e-05
si6_b03_m200.A88,8.459091186523438e-05
si6_b03_m200.A89,8.096694946289063e-05
si6_b03_m200.A90,8.301734924316406e-05
si6_b03_m200.A91,8.220672607421875e-05
si6_b03_m200.A92,8.168220520019532e-05
si6_b03_m200.A93,8.120536804199219e-05
si6_b03_m200.A94,8.044242858886718e-05
si6_b03_m200.A95,8.149147033691407e-05
si6_b03_m200.A96,8.130073547363281e-05
si6_b03_m200.A97,8.025169372558594e-05
si6_b03_m200.A98,8.130073547363281e-05
si6_b03_m200.A99,8.168220520019532e-05
si6_b03_m400.A00,0.00017681121826171876
si6_b03_m400.A01,0.00017566680908203124
si6_b03_m400.A02,0.00017633438110351563
si6_b03_m400.A03,0.00017647743225097657
si6_b03_m400.A04,0.00017948150634765624
si6_b03_m400.A05,0.0001758575439453125
