Graph,avg_time
si6_b03_m1000.A00,0.001058053970336914
si6_b03_m1000.A01,0.0013150215148925782
si6_b03_m1000.A02,0.001425313949584961
si6_b03_m1000.A03,0.0014239788055419923
si6_b03_m1000.A04,0.0014332294464111327
si6_b03_m1000.A05,0.0014617443084716797
si6_b03_m1000.A06,0.0014514446258544922
si6_b03_m1000.A07,0.0010648250579833984
si6_b03_m1000.A08,0.001032114028930664
si6_b03_m1000.A09,0.0010078907012939452
si6_b03_m1000.A10,0.0010382652282714844
si6_b03_m1000.A11,0.0013892650604248047
si6_b03_m1000.A12,0.001395416259765625
si6_b03_m1000.A13,0.0014637947082519532
si6_b03_m1000.A14,0.0014362335205078125
si6_b03_m1000.A15,0.0014061450958251954
si6_b03_m1000.A16,0.0014586925506591796
si6_b03_m1000.A17,0.0011174678802490234
si6_b03_m1000.A18,0.0010175228118896485
si6_b03_m1000.A19,0.000992727279663086
si6_b03_m1000.A20,0.001010894775390625
si6_b03_m1000.A21,0.0014147281646728516
si6_b03_m1000.A22,0.0014644145965576171
si6_b03_m1000.A23,0.0014318466186523438
si6_b03_m1000.A24,0.0010471820831298828
si6_b03_m1000.A25,0.0010343551635742187
si6_b03_m1000.A26,0.0010317325592041015
si6_b03_m1000.A27,0.0010268688201904297
si6_b03_m1000.A28,0.0010164260864257812
si6_b03_m1000.A29,0.0010496139526367187
si6_b03_m1000.A30,0.0010106086730957032
si6_b03_m1000.A31,0.0010102272033691406
si6_b03_m1000.A32,0.001009988784790039
si6_b03_m1000.A33,0.0010063648223876953
si6_b03_m1000.A34,0.0010112762451171876
si6_b03_m1000.A35,0.0010249614715576172
si6_b03_m1000.A36,0.0012408733367919923
si6_b03_m1000.A37,0.001439666748046875
si6_b03_m1000.A38,0.0014036178588867187
si6_b03_m1000.A39,0.001455211639404297
si6_b03_m1000.A40,0.0014338016510009766
si6_b03_m1000.A41,0.0014667510986328125
si6_b03_m1000.A42,0.0011970043182373048
si6_b03_m1000.A43,0.0010158061981201173
si6_b03_m1000.A44,0.0009857177734375
si6_b03_m1000.A45,0.0010064125061035156
si6_b03_m1000.A46,0.0010202884674072265
si6_b03_m1000.A47,0.001036214828491211
si6_b03_m1000.A48,0.0010149955749511718
si6_b03_m1000.A49,0.001007843017578125
si6_b03_m1000.A50,0.0010212421417236327
si6_b03_m1000.A51,0.0013217926025390625
si6_b03_m1000.A52,0.0010029792785644532
si6_b03_m1000.A53,0.0014107227325439453
si6_b03_m1000.A54,0.0014330387115478516
si6_b03_m1000.A55,0.0014751911163330077
si6_b03_m1000.A56,0.001483583450317383
si6_b03_m1000.A57,0.0014377117156982421
si6_b03_m1000.A58,0.0014534473419189453
si6_b03_m1000.A59,0.0014284610748291015
si6_b03_m1000.A60,0.0014805316925048829
si6_b03_m1000.A61,0.0014512062072753907
si6_b03_m1000.A62,0.0014820575714111328
si6_b03_m1000.A63,0.0014688491821289063
si6_b03_m1000.A64,0.0014479637145996093
si6_b03_m1000.A65,0.0014352798461914062
si6_b03_m1000.A66,0.0014404773712158204
si6_b03_m1000.A67,0.0014274120330810547
si6_b03_m1000.A68,0.001441049575805664
si6_b03_m1000.A69,0.0015035152435302734
si6_b03_m1000.A70,0.0014400005340576172
si6_b03_m1000.A71,0.001439523696899414
si6_b03_m1000.A72,0.0014532089233398437
si6_b03_m1000.A73,0.0014272212982177734
si6_b03_m1000.A74,0.0014469623565673828
si6_b03_m1000.A75,0.0014374732971191406
si6_b03_m1000.A76,0.0014772891998291015
si6_b03_m1000.A77,0.0010127544403076172
si6_b03_m1000.A78,0.001379680633544922
si6_b03_m1000.A79,0.0014595985412597656
si6_b03_m1000.A80,0.001123046875
si6_b03_m1000.A81,0.001036214828491211
si6_b03_m1000.A82,0.0010081768035888673
si6_b03_m1000.A83,0.0010033607482910155
si6_b03_m1000.A84,0.0012320518493652345
si6_b03_m1000.A85,0.0014591217041015625
si6_b03_m1000.A86,0.0011882781982421875
si6_b03_m1000.A87,0.001017284393310547
si6_b03_m1000.A88,0.0010109901428222655
si6_b03_m1000.A89,0.0010271072387695312
si6_b03_m1000.A90,0.0010038375854492187
si6_b03_m1000.A91,0.001044321060180664
si6_b03_m1000.A92,0.0010200023651123046
si6_b03_m1000.A93,0.0010230064392089844
si6_b03_m1000.A94,0.000995969772338867
si6_b03_m1000.A95,0.000999116897583008
si6_b03_m1000.A96,0.0009968280792236328
si6_b03_m1000.A97,0.0009962081909179687
si6_b03_m1000.A98,0.0014222145080566406
si6_b03_m1000.A99,0.0013988494873046875
si6_b03_m200.A00,0.00010972023010253906
si6_b03_m200.A01,0.00010676383972167969
si6_b03_m200.A02,0.00010251998901367188
si6_b03_m200.A03,9.002685546875e-05
si6_b03_m200.A04,7.982254028320313e-05
si6_b03_m200.A05,8.511543273925781e-05
si6_b03_m200.A06,8.35418701171875e-05
si6_b03_m200.A07,8.697509765625e-05
si6_b03_m200.A08,8.740425109863282e-05
si6_b03_m200.A09,8.797645568847656e-05
si6_b03_m200.A10,8.697509765625e-05
si6_b03_m200.A11,8.96453857421875e-05
si6_b03_m200.A12,8.072853088378907e-05
si6_b03_m200.A13,8.268356323242188e-05
si6_b03_m200.A14,8.349418640136718e-05
si6_b03_m200.A15,8.068084716796874e-05
si6_b03_m200.A16,8.335113525390626e-05
si6_b03_m200.A17,8.616447448730468e-05
si6_b03_m200.A18,9.083747863769531e-05
si6_b03_m200.A19,8.673667907714844e-05
si6_b03_m200.A20,8.592605590820312e-05
si6_b03_m200.A21,8.287429809570313e-05
si6_b03_m200.A22,8.244514465332032e-05
si6_b03_m200.A23,8.220672607421875e-05
si6_b03_m200.A24,8.645057678222657e-05
si6_b03_m200.A25,8.530616760253907e-05
si6_b03_m200.A26,8.563995361328125e-05
si6_b03_m200.A27,8.463859558105469e-05
si6_b03_m200.A28,8.687973022460937e-05
si6_b03_m200.A29,9.298324584960938e-05
si6_b03_m200.A30,8.668899536132813e-05
si6_b03_m200.A31,8.444786071777343e-05
si6_b03_m200.A32,8.788108825683594e-05
si6_b03_m200.A33,8.444786071777343e-05
si6_b03_m200.A34,8.969306945800781e-05
si6_b03_m200.A35,8.044242858886718e-05
si6_b03_m200.A36,8.854866027832031e-05
si6_b03_m200.A37,8.215904235839844e-05
si6_b03_m200.A38,8.115768432617187e-05
si6_b03_m200.A39,8.845329284667969e-05
si6_b03_m200.A40,8.921623229980468e-05
si6_b03_m200.A41,9.140968322753906e-05
si6_b03_m200.A42,8.034706115722656e-05
si6_b03_m200.A43,8.544921875e-05
si6_b03_m200.A44,8.745193481445313e-05
si6_b03_m200.A45,8.893013000488281e-05
si6_b03_m200.A46,8.525848388671876e-05
si6_b03_m200.A47,8.602142333984375e-05
si6_b03_m200.A48,8.416175842285156e-05
si6_b03_m200.A49,8.540153503417968e-05
si6_b03_m200.A50,8.716583251953126e-05
si6_b03_m200.A51,8.425712585449218e-05
si6_b03_m200.A52,8.587837219238281e-05
si6_b03_m200.A53,8.230209350585937e-05
si6_b03_m200.A54,8.597373962402344e-05
si6_b03_m200.A55,8.802413940429687e-05
si6_b03_m200.A56,8.9263916015625e-05
si6_b03_m200.A57,8.411407470703125e-05
si6_b03_m200.A58,8.721351623535157e-05
si6_b03_m200.A59,8.282661437988281e-05
si6_b03_m200.A60,8.454322814941407e-05
si6_b03_m200.A61,7.996559143066406e-05
si6_b03_m200.A62,8.344650268554688e-05
si6_b03_m200.A63,8.873939514160156e-05
si6_b03_m200.A64,8.153915405273438e-05
si6_b03_m200.A65,8.220672607421875e-05
si6_b03_m200.A66,8.339881896972657e-05
si6_b03_m200.A67,8.335113525390626e-05
si6_b03_m200.A68,8.459091186523438e-05
si6_b03_m200.A69,8.420944213867187e-05
si6_b03_m200.A70,8.134841918945312e-05
si6_b03_m200.A71,8.120536804199219e-05
si6_b03_m200.A72,8.769035339355469e-05
si6_b03_m200.A73,8.625984191894532e-05
si6_b03_m200.A74,8.525848388671876e-05
si6_b03_m200.A75,8.168220520019532e-05
si6_b03_m200.A76,8.645057678222657e-05
si6_b03_m200.A77,8.6212158203125e-05
si6_b03_m200.A78,8.230209350585937e-05
si6_b03_m200.A79,7.901191711425781e-05
si6_b03_m200.A80,8.611679077148437e-05
si6_b03_m200.A81,8.711814880371093e-05
si6_b03_m200.A82,8.068084716796874e-05
si6_b03_m200.A83,7.915496826171875e-05
si6_b03_m200.A84,8.587837219238281e-05
si6_b03_m200.A85,9.307861328125e-05
si6_b03_m200.A86,8.149147033691407e-05
si6_b03_m200.A87,8.649826049804688e-05
si6_b03_m200.A88,8.759498596191406e-05
si6_b03_m200.A89,8.525848388671876e-05
si6_b03_m200.A90,8.134841918945312e-05
si6_b03_m200.A91,8.397102355957031e-05
si6_b03_m200.A92,8.792877197265625e-05
si6_b03_m200.A93,8.516311645507812e-05
si6_b03_m200.A94,8.568763732910156e-05
si6_b03_m200.A95,8.358955383300782e-05
si6_b03_m200.A96,7.872581481933593e-05
si6_b03_m200.A97,8.826255798339843e-05
si6_b03_m200.A98,8.230209350585937e-05
si6_b03_m200.A99,8.258819580078124e-05
si6_b03_m400.A00,0.00021777153015136718
si6_b03_m400.A01,0.00021686553955078126
si6_b03_m400.A02,0.00021162033081054688
si6_b03_m400.A03,0.00021953582763671874
si6_b03_m400.A04,0.00021204948425292968
si6_b03_m400.A05,0.00021495819091796876
si6_b03_m400.A06,0.00022411346435546875
si6_b03_m400.A07,0.0002170562744140625
si6_b03_m400.A08,0.00022478103637695311
si6_b03_m400.A09,0.00021328926086425782
si6_b03_m400.A10,0.0002469062805175781
si6_b03_m400.A11,0.0002159595489501953
si6_b03_m400.A12,0.00021758079528808594
si6_b03_m400.A13,0.0002223491668701172
si6_b03_m400.A14,0.00021762847900390624
si6_b03_m400.A15,0.00021047592163085936
si6_b03_m400.A16,0.0002469062805175781
si6_b03_m400.A17,0.00021457672119140625
si6_b03_m400.A18,0.00022177696228027345
si6_b03_m400.A19,0.00024204254150390626
si6_b03_m400.A20,0.0002162933349609375
si6_b03_m400.A21,0.0002167224884033203
si6_b03_m400.A22,0.000217437744140625
si6_b03_m400.A23,0.0002186298370361328
si6_b03_m400.A24,0.00021929740905761718
si6_b03_m400.A25,0.0002571582794189453
si6_b03_m400.A26,0.00021653175354003907
si6_b03_m400.A27,0.00021696090698242188
si6_b03_m400.A28,0.00023975372314453126
si6_b03_m400.A29,0.00024433135986328124
si6_b03_m400.A30,0.00022225379943847657
si6_b03_m400.A31,0.00021963119506835939
si6_b03_m400.A32,0.00022153854370117189
si6_b03_m400.A33,0.00024743080139160155
si6_b03_m400.A34,0.00021529197692871094
si6_b03_m400.A35,0.0002478122711181641
si6_b03_m400.A36,0.0002197742462158203
si6_b03_m400.A37,0.000222015380859375
si6_b03_m400.A38,0.00021810531616210936
si6_b03_m400.A39,0.0002463817596435547
si6_b03_m400.A40,0.0002246379852294922
si6_b03_m400.A41,0.00024662017822265627
si6_b03_m400.A42,0.00021710395812988282
si6_b03_m400.A43,0.00021696090698242188
si6_b03_m400.A44,0.00024476051330566404
si6_b03_m400.A45,0.00021843910217285157
si6_b03_m400.A46,0.0002220630645751953
si6_b03_m400.A47,0.00021953582763671874
si6_b03_m400.A48,0.00021538734436035156
si6_b03_m400.A49,0.00022330284118652344
si6_b03_m400.A50,0.00021314620971679688
si6_b03_m400.A51,0.00021328926086425782
si6_b03_m400.A52,0.000244903564453125
si6_b03_m400.A53,0.00022482872009277344
si6_b03_m400.A54,0.0002200603485107422
si6_b03_m400.A55,0.00021724700927734376
si6_b03_m400.A56,0.0002239704132080078
si6_b03_m400.A57,0.00021805763244628907
si6_b03_m400.A58,0.00022063255310058593
si6_b03_m400.A59,0.00021948814392089844
si6_b03_m400.A60,0.0002388477325439453
si6_b03_m400.A61,0.0002464771270751953
si6_b03_m400.A62,0.00021600723266601562
si6_b03_m400.A63,0.00021376609802246094
si6_b03_m400.A64,0.00021586418151855468
si6_b03_m400.A65,0.00021038055419921874
si6_b03_m400.A66,0.000222015380859375
si6_b03_m400.A67,0.00021886825561523438
si6_b03_m400.A68,0.00021653175354003907
si6_b03_m400.A69,0.0002201557159423828
si6_b03_m400.A70,0.00024161338806152343
si6_b03_m400.A71,0.000215911865234375
si6_b03_m400.A72,0.0002201080322265625
si6_b03_m400.A73,0.00021691322326660155
si6_b03_m400.A74,0.0002470493316650391
si6_b03_m400.A75,0.0002186298370361328
si6_b03_m400.A76,0.00021939277648925782
si6_b03_m400.A77,0.00024523735046386717
si6_b03_m400.A78,0.0002246856689453125
si6_b03_m400.A79,0.0002501964569091797
si6_b03_m400.A80,0.0002437591552734375
si6_b03_m400.A81,0.00021800994873046874
si6_b03_m400.A82,0.00022025108337402343
si6_b03_m400.A83,0.00021195411682128906
si6_b03_m400.A84,0.00021152496337890626
si6_b03_m400.A85,0.00021452903747558593
si6_b03_m400.A86,0.00021586418151855468
si6_b03_m400.A87,0.00021648406982421875
si6_b03_m400.A88,0.00024271011352539062
si6_b03_m400.A89,0.00021710395812988282
si6_b03_m400.A90,0.00025348663330078126
si6_b03_m400.A91,0.0002193450927734375
si6_b03_m400.A92,0.00021448135375976563
si6_b03_m400.A93,0.00022172927856445312
si6_b03_m400.A94,0.00023822784423828126
si6_b03_m400.A95,0.00021505355834960938
si6_b03_m400.A96,0.00024623870849609374
si6_b03_m400.A97,0.00021080970764160157
si6_b03_m400.A98,0.0002555370330810547
si6_b03_m400.A99,0.00022916793823242189
si6_b03_m600.A00,0.00045714378356933596
si6_b03_m600.A01,0.0005442142486572265
si6_b03_m600.A02,0.0005531787872314453
si6_b03_m600.A03,0.0004943370819091797
si6_b03_m600.A04,0.00039997100830078123
si6_b03_m600.A05,0.00039987564086914064
si6_b03_m600.A06,0.0005711078643798828
si6_b03_m600.A07,0.0004004955291748047
si6_b03_m600.A08,0.00041189193725585935
si6_b03_m600.A09,0.0004180908203125
si6_b03_m600.A10,0.00041642189025878904
si6_b03_m600.A11,0.0004357337951660156
si6_b03_m600.A12,0.0004222393035888672
si6_b03_m600.A13,0.0004147529602050781
si6_b03_m600.A14,0.00040135383605957033
si6_b03_m600.A15,0.0003962516784667969
si6_b03_m600.A16,0.0004250526428222656
si6_b03_m600.A17,0.000418853759765625
si6_b03_m600.A18,0.00039696693420410156
si6_b03_m600.A19,0.00040602684020996094
si6_b03_m600.A20,0.0004206180572509766
si6_b03_m600.A21,0.0004004955291748047
si6_b03_m600.A22,0.0005367755889892578
si6_b03_m600.A23,0.0005559921264648438
si6_b03_m600.A24,0.0005450248718261719
si6_b03_m600.A25,0.000556325912475586
si6_b03_m600.A26,0.00057220458984375
si6_b03_m600.A27,0.0004039287567138672
si6_b03_m600.A28,0.0004078388214111328
si6_b03_m600.A29,0.0004194736480712891
si6_b03_m600.A30,0.000525522232055664
si6_b03_m600.A31,0.00040988922119140626
si6_b03_m600.A32,0.00042524337768554685
si6_b03_m600.A33,0.00040826797485351565
si6_b03_m600.A34,0.0004096031188964844
si6_b03_m600.A35,0.0004199028015136719
si6_b03_m600.A36,0.00041060447692871095
si6_b03_m600.A37,0.0004084587097167969
si6_b03_m600.A38,0.00041365623474121094
si6_b03_m600.A39,0.00040559768676757814
si6_b03_m600.A40,0.0004130363464355469
si6_b03_m600.A41,0.0004063129425048828
si6_b03_m600.A42,0.0004034996032714844
si6_b03_m600.A43,0.0003993988037109375
si6_b03_m600.A44,0.0004292011260986328
si6_b03_m600.A45,0.00040869712829589845
si6_b03_m600.A46,0.0004797458648681641
si6_b03_m600.A47,0.0005434513092041016
si6_b03_m600.A48,0.000559854507446289
si6_b03_m600.A49,0.0005688667297363281
si6_b03_m600.A50,0.0005589485168457031
si6_b03_m600.A51,0.000402069091796875
si6_b03_m600.A52,0.0003900051116943359
si6_b03_m600.A53,0.0004149436950683594
si6_b03_m600.A54,0.0004130363464355469
si6_b03_m600.A55,0.00040926933288574217
si6_b03_m600.A56,0.0004055500030517578
si6_b03_m600.A57,0.00041146278381347655
si6_b03_m600.A58,0.00042133331298828126
si6_b03_m600.A59,0.0004324913024902344
si6_b03_m600.A60,0.0005660533905029296
si6_b03_m600.A61,0.0004389762878417969
si6_b03_m600.A62,0.0004062175750732422
si6_b03_m600.A63,0.0004116058349609375
si6_b03_m600.A64,0.00040755271911621096
si6_b03_m600.A65,0.0004059791564941406
si6_b03_m600.A66,0.0004072666168212891
si6_b03_m600.A67,0.000492095947265625
si6_b03_m600.A68,0.000536346435546875
si6_b03_m600.A69,0.000557565689086914
si6_b03_m600.A70,0.0005563735961914062
si6_b03_m600.A71,0.0005609035491943359
si6_b03_m600.A72,0.0005332469940185547
si6_b03_m600.A73,0.0005345821380615234
si6_b03_m600.A74,0.0005626678466796875
si6_b03_m600.A75,0.0005440235137939454
si6_b03_m600.A76,0.0005521774291992188
si6_b03_m600.A77,0.0004527568817138672
si6_b03_m600.A78,0.0005637645721435547
si6_b03_m600.A79,0.0005494594573974609
si6_b03_m600.A80,0.000538492202758789
si6_b03_m600.A81,0.0005621910095214844
si6_b03_m600.A82,0.0005658626556396485
si6_b03_m600.A83,0.0005445480346679688
si6_b03_m600.A84,0.0005552768707275391
si6_b03_m600.A85,0.0005738258361816407
si6_b03_m600.A86,0.0005474567413330078
si6_b03_m600.A87,0.000548410415649414
si6_b03_m600.A88,0.000530862808227539
